issueBook,2024-06-06T20:40:38.564232
returnBook,2024-06-06T20:40:38.566669
searchBooksByTitle,2024-06-06T20:40:38.566823
searchBooksByAuthor,2024-06-06T20:40:38.566953
listBooksBySection,2024-06-06T20:40:38.567063
listOverdueBooks,2024-06-06T20:40:38.567177
listBooksByGenre,2024-06-06T20:40:38.56728
issueBook,2024-06-06T20:41:15.922105
returnBook,2024-06-06T20:41:15.92384
searchBooksByTitle,2024-06-06T20:41:15.924184
searchBooksByAuthor,2024-06-06T20:41:15.924409
listBooksBySection,2024-06-06T20:41:15.924595
listOverdueBooks,2024-06-06T20:41:15.924806
listBooksByGenre,2024-06-06T20:41:15.925003
issueBook,2024-06-06T20:41:18.071526
returnBook,2024-06-06T20:41:18.072433
searchBooksByTitle,2024-06-06T20:41:18.072761
searchBooksByAuthor,2024-06-06T20:41:18.072984
listBooksBySection,2024-06-06T20:41:18.07315
listOverdueBooks,2024-06-06T20:41:18.073374
listBooksByGenre,2024-06-06T20:41:18.07356
issueBook,2024-06-06T21:43:26.993253
returnBook,2024-06-06T21:43:41.674091
searchBooksByTitle,2024-06-06T21:43:48.742632
searchBooksByAuthor,2024-06-06T21:43:57.246324
listBooksBySection,2024-06-06T21:44:05.069379
listOverdueBooks,2024-06-06T21:44:05.075611
listBooksByGenre,2024-06-06T21:44:34.860343
